trial,key,time,id,type,shadow,setsize,stimulus
320,left,1354.75206375122,1,gradient,FALSE,6,absent
321,right,961.788773536682,1,gradient,FALSE,9,present
322,right,1191.22624397278,1,gradient,FALSE,9,present
323,right,496.947973966599,1,gradient,FALSE,9,present
324,right,1701.89440250397,1,gradient,FALSE,9,present
325,right,1479.38239574432,1,gradient,FALSE,9,present
326,right,581.087231636047,1,gradient,FALSE,9,present
327,right,644.119322299957,1,gradient,FALSE,9,present
328,right,698.996365070343,1,gradient,FALSE,9,present
329,right,579.849779605865,1,gradient,FALSE,9,present
330,right,571.982145309448,1,gradient,FALSE,9,present
331,right,1244.59898471832,1,gradient,FALSE,9,present
332,left,1793.95878314972,1,gradient,FALSE,9,present
333,right,637.512683868408,1,gradient,FALSE,9,present
334,right,844.950437545776,1,gradient,FALSE,9,present
335,right,597.169399261475,1,gradient,FALSE,9,present
336,right,1076.53439044952,1,gradient,FALSE,9,present
337,right,981.260299682617,1,gradient,FALSE,9,present
338,right,1747.37083911896,1,gradient,FALSE,9,present
339,right,1043.52700710297,1,gradient,FALSE,9,present
340,right,434.689432382584,1,gradient,FALSE,9,present
341,right,591.72123670578,1,gradient,FALSE,9,present
342,right,558.035135269165,1,gradient,FALSE,9,present
343,right,486.607551574707,1,gradient,FALSE,9,present
344,right,607.379138469696,1,gradient,FALSE,9,present
345,right,2060.50682067871,1,gradient,FALSE,9,present
346,right,625.024139881134,1,gradient,FALSE,9,present
347,right,619.488000869751,1,gradient,FALSE,9,present
348,right,564.885973930359,1,gradient,FALSE,9,present
349,right,350.348681211472,1,gradient,FALSE,9,present
350,right,1015.38801193237,1,gradient,FALSE,9,present
351,left,1638.4973526001,1,gradient,FALSE,9,absent
352,right,552.438139915466,1,gradient,FALSE,9,absent
353,left,1875.2646446228,1,gradient,FALSE,9,absent
354,left,2305.46307563782,1,gradient,FALSE,9,absent
355,right,928.642511367798,1,gradient,FALSE,9,absent
356,left,1782.69290924072,1,gradient,FALSE,9,absent
357,right,859.969317913055,1,gradient,FALSE,9,absent
358,left,2010.76292991638,1,gradient,FALSE,9,absent
359,left,1636.63899898529,1,gradient,FALSE,9,absent
360,right,546.048402786255,1,gradient,FALSE,9,absent
361,right,744.661629199982,1,gradient,TRUE,3,present
362,right,763.244688510895,1,gradient,TRUE,3,present
363,right,825.539469718933,1,gradient,TRUE,3,present
364,right,555.241763591766,1,gradient,TRUE,3,present
365,right,781.086325645447,1,gradient,TRUE,3,present
366,right,574.072480201721,1,gradient,TRUE,3,present
367,right,460.659772157669,1,gradient,TRUE,3,present
368,right,451.184213161469,1,gradient,TRUE,3,present
369,right,622.823297977448,1,gradient,TRUE,3,present
370,right,452.326864004135,1,gradient,TRUE,3,present
371,right,782.717227935791,1,gradient,TRUE,3,present
372,right,418.133080005646,1,gradient,TRUE,3,present
373,right,955.832839012146,1,gradient,TRUE,3,present
374,left,554.022431373596,1,gradient,TRUE,3,present
375,right,538.302958011627,1,gradient,TRUE,3,present
376,right,558.364927768707,1,gradient,TRUE,3,present
377,right,547.037482261658,1,gradient,TRUE,3,present
378,right,823.617815971375,1,gradient,TRUE,3,present
379,right,559.423089027405,1,gradient,TRUE,3,present
380,right,703.122973442078,1,gradient,TRUE,3,present
381,right,596.394181251526,1,gradient,TRUE,3,present
382,right,606.520473957062,1,gradient,TRUE,3,present
383,left,790.225267410278,1,gradient,TRUE,3,present
384,right,624.513328075409,1,gradient,TRUE,3,present
385,right,1155.56311607361,1,gradient,TRUE,3,present
386,right,748.826861381531,1,gradient,TRUE,3,present
387,right,899.522006511688,1,gradient,TRUE,3,present
388,right,1132.56061077118,1,gradient,TRUE,3,present
389,right,766.534447669983,1,gradient,TRUE,3,present
390,right,593.961358070374,1,gradient,TRUE,3,present
391,left,685.226917266846,1,gradient,TRUE,3,absent
392,left,843.400001525879,1,gradient,TRUE,3,absent
393,right,688.602924346924,1,gradient,TRUE,3,absent
394,left,969.347476959229,1,gradient,TRUE,3,absent
395,left,1053.8045167923,1,gradient,TRUE,3,absent
396,right,840.270280838013,1,gradient,TRUE,3,absent
397,left,936.280250549316,1,gradient,TRUE,3,absent
398,left,731.234610080719,1,gradient,TRUE,3,absent
399,left,609.379827976227,1,gradient,TRUE,3,absent
400,right,766.77531003952,1,gradient,TRUE,3,absent
401,right,1063.01021575928,1,gradient,TRUE,6,present
402,right,578.229904174805,1,gradient,TRUE,6,present
403,right,498.492628335953,1,gradient,TRUE,6,present
404,right,1059.39602851868,1,gradient,TRUE,6,present
405,right,527.369618415833,1,gradient,TRUE,6,present
406,right,528.245747089386,1,gradient,TRUE,6,present
407,right,531.511247158051,1,gradient,TRUE,6,present
408,right,1594.67196464539,1,gradient,TRUE,6,present
409,right,858.9768409729,1,gradient,TRUE,6,present
410,right,824.228167533875,1,gradient,TRUE,6,present
411,right,870.685040950775,1,gradient,TRUE,6,present
412,right,810.116589069366,1,gradient,TRUE,6,present
413,right,640.917778015137,1,gradient,TRUE,6,present
414,right,563.696146011353,1,gradient,TRUE,6,present
415,right,952.696025371552,1,gradient,TRUE,6,present
416,right,1339.42902088165,1,gradient,TRUE,6,present
417,right,1295.8151102066,1,gradient,TRUE,6,present
418,right,527.974784374237,1,gradient,TRUE,6,present
419,right,511.645972728729,1,gradient,TRUE,6,present
420,right,1403.81824970245,1,gradient,TRUE,6,present
421,right,512.488961219788,1,gradient,TRUE,6,present
422,right,486.666053533554,1,gradient,TRUE,6,present
423,right,547.215402126312,1,gradient,TRUE,6,present
424,right,590.118408203125,1,gradient,TRUE,6,present
425,right,796.889364719391,1,gradient,TRUE,6,present
426,right,719.660520553589,1,gradient,TRUE,6,present
427,right,646.536350250244,1,gradient,TRUE,6,present
428,right,505.18786907196,1,gradient,TRUE,6,present
429,right,884.949207305908,1,gradient,TRUE,6,present
430,right,865.691900253296,1,gradient,TRUE,6,present
431,left,1049.41618442535,1,gradient,TRUE,6,absent
432,left,1433.09688568115,1,gradient,TRUE,6,absent
433,left,1371.66142463684,1,gradient,TRUE,6,absent
434,left,1579.72526550293,1,gradient,TRUE,6,absent
435,left,1647.01902866364,1,gradient,TRUE,6,absent
436,left,1560.88185310364,1,gradient,TRUE,6,absent
437,right,484.634906053543,1,gradient,TRUE,6,absent
438,left,1608.04486274719,1,gradient,TRUE,6,absent
439,left,1371.44422531128,1,gradient,TRUE,6,absent
440,left,1527.26113796234,1,gradient,TRUE,6,absent
441,right,593.392133712769,1,gradient,TRUE,9,present
442,right,764.493703842163,1,gradient,TRUE,9,present
443,right,999.163508415222,1,gradient,TRUE,9,present
444,right,505.238831043243,1,gradient,TRUE,9,present
445,right,547.074437141418,1,gradient,TRUE,9,present
446,right,1035.63857078552,1,gradient,TRUE,9,present
447,right,1376.11997127533,1,gradient,TRUE,9,present
448,right,874.717593193054,1,gradient,TRUE,9,present
449,right,386.813074350357,1,gradient,TRUE,9,present
450,right,1746.20389938354,1,gradient,TRUE,9,present
451,right,1814.32116031647,1,gradient,TRUE,9,present
452,right,548.590660095215,1,gradient,TRUE,9,present
453,right,964.053928852081,1,gradient,TRUE,9,present
454,right,435.752391815185,1,gradient,TRUE,9,present
455,right,516.026079654694,1,gradient,TRUE,9,present
456,right,975.25954246521,1,gradient,TRUE,9,present
457,right,1772.77731895447,1,gradient,TRUE,9,present
458,right,640.644073486328,1,gradient,TRUE,9,present
459,right,982.680022716522,1,gradient,TRUE,9,present
460,right,1188.74251842499,1,gradient,TRUE,9,present
461,right,950.378179550171,1,gradient,TRUE,9,present
462,right,886.52503490448,1,gradient,TRUE,9,present
463,right,1450.46067237854,1,gradient,TRUE,9,present
